etak_id,lat,lon,total_roof_area,district,ehr_code,address_id,address,name,type,year,total_area,floors,energy_label,residential,assembly,business,educational,industrial,institutional,mercantile,storage,other
723516,58.3603316214796,26.718504294174146,285.72,Ropka,104013792.0,EE00747955,"Kabeli tänav 9, Tartu linn",Elamu,üksikelamu,1961.0,122.6,1.0,,0.6133768352365416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351314,58.38151947237096,26.54219064663488,122.12,Endine Tähtvere vald,104019797.0,EE00753518,"Raba tee 8, Tartu linn",Elamu,üksikelamu,1935.0,57.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710086,58.39935195132716,26.71621725137388,612.22,Raadi-Kruusamäe,104017263.0,EE00751170,"Muru tänav 24, Tartu linn",Elamu,üksikelamu,1977.0,1085.6,2.0,,0.6826639646278556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720908,58.37416680573251,26.763161691889405,891.86,Annelinna,104017526.0,EE00751423,"Anne tänav 75, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,1975.0,4360.5,5.0,D,0.7723884875587662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728092,58.34742374092091,26.705437577348643,162.63,Variku,104041643.0,EE00773652,"Kesa tänav 25, Tartu linn",Üksikelamu,üksikelamu,1977.0,118.9,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714056,58.38583142676699,26.704870877048187,357.44,Tähtvere,104017116.0,ME00751031,"Laulupeo puiestee 21/3, Tartu linn",Kaarhall pos.1,muu spordihoone,,339.1,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719651,58.38573578829983,26.72831145253724,369.98,Ülejõe,104037720.0,EE00770181,"Mäe tänav 10, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1977.0,460.9,2.0,,0.8147103493165546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7602443,58.362243743229065,26.634742313699284,54.39,Endine Tähtvere vald,120850470.0,ME03689773,"Põlluääre tee 6, Tartu linn",Saun,"elamu, kooli vms abihoone",,83.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720899,58.37077281832098,26.685867376694056,187.45,Veeriku,104017053.0,EE00750970,"Sangla tänav 55, Tartu linn",Elamu,üksikelamu,1985.0,219.5,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723417,58.348658575638105,26.788202955743603,102.01,Ihaste,104018623.0,EE00752409,"Sinilille tänav 6, Tartu linn",Aiamaja,"suvila, aiamaja",1984.0,46.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710445,58.39080742237524,26.722589764716364,216.95,Ülejõe,104043865.0,EE00775741,"Liiva tänav 30, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1977.0,277.1,2.0,D,0.6542764345001805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715279,58.37238655681841,26.704374041246552,2406.08,Tammelinna,104015159.0,ME00749201,"Väike kaar 33, Tartu linn",Ladu nr.1,teraviljakuivati,,1986.6,1.0,,0.0,0.0,0.0,0.0,0.992248062015504,0.0,0.0,0.0,0.0
726173,58.35391562171023,26.686066724063547,120.27,Ränilinna,104041103.0,ME00773175,"Aardla tänav 107, Tartu linn",Bensiinijaam,muu kaubandushoone,1996.0,96.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
645122,58.38917065947104,26.71070659117025,131.88,Supilinna,nan,ME03026222,"Oa tänav 42, Tartu linn",,,,,,,,,,,,,,,
713583,58.38707218215928,26.718871870731988,178.47,Supilinna,104038610.0,EE00770934,"Emajõe tänav 5, Tartu linn",Elamu,üksikelamu,2000.0,270.1,2.0,,0.9444650129581637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730012,58.348755306818944,26.78906406620591,132.91,Ihaste,104018366.0,EE00752199,"Sinilille tänav 10, Tartu linn",Elamu,üksikelamu,1995.0,88.2,1.0,,0.5272108843537415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712559,58.39860064771203,26.71213757478986,176.66,Raadi-Kruusamäe,104043702.0,EE00775594,"Laane tänav 10, Tartu linn",Elamu,üksikelamu,1977.0,133.5,1.0,,0.6142322097378277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716300,58.36796648939754,26.731686036750165,35.68,Karlova,nan,,,,,,,,,,,,,,,,,
723255,58.36545304351955,26.73663824808493,231.37,Karlova,104039567.0,EE00771779,"Raua tänav 14, Tartu linn",Eramu juurdeehitus,üksikelamu,1947.0,92.6,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711093,58.370647661509416,26.72794093832681,64.43,Karlova,121278187.0,ME03783240,"Tähe tänav 18, Tartu linn",Kuur,"elamu, kooli vms abihoone",,47.8,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711773,58.3915205834475,26.73296349920213,92.38,Raadi-Kruusamäe,nan,ME03036691,"Jänese tänav 3, Tartu linn",,,,,,,,,,,,,,,
722108,58.364891815318536,26.72812383479865,35.47,Karlova,nan,ME03028129,"Sõbra tänav 20a, Tartu linn",,,,,,,,,,,,,,,
720645,58.36712521274795,26.72189885318068,56.16,Karlova,104015494.0,ME00749522,"Võru tänav 108, Tartu linn",Garaaz^,"elamu, kooli vms abihoone",,42.8,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361273,58.43886542092014,26.55859670959549,116.13,Endine Tähtvere vald,104019547.0,EE00753273,,Elamu,üksikelamu,1939.0,62.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726323,58.36350191973269,26.736940510496893,235.91,Karlova,120789478.0,EE03532277,"Raua tänav 18, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,1938.0,177.1,2.0,,0.5420666290231507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709909,58.37118417885061,26.713224949653664,86.78,Vaksali,nan,ME03026926,"Kastani tänav 87, Tartu linn",,,,,,,,,,,,,,,
724292,58.35935896356533,26.701812619451697,201.15,Tammelinna,104016502.0,EE00750453,"Lemmatsi tänav 1, Tartu linn",Elamu,üksikelamu,1977.0,149.4,1.0,,0.7349397590361445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715634,58.39132164502878,26.729321095136417,138.94,Raadi-Kruusamäe,nan,ME03027655,"Narva maantee 110, Tartu linn",,,,,,,,,,,,,,,
718897,58.38019882141162,26.75760033821756,130.49,Annelinna,104040137.0,EE00772291,"Jaama tänav 145, Tartu linn",Elamu,üksikelamu,1977.0,104.9,1.0,,0.6482364156339371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
